# fcr-simulator-csv-schema-version:3
schema_version,engine_name,engine_version,engine_commit,slot,epoch,has_block,block_root,head_root,confirmed_root,confirmed_slot,confirmation_delay_slots,fast_confirmed,strict_one_slot_confirmed,finalized_epoch,justified_epoch,source_block_slot,num_attestations_injected,is_epoch_boundary,is_missed_slot,fcr_eval_duration_us,attestation_source_mode,lookahead_cap
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933835,435432,true,0x1ef9ad102bad3298778efa5f43c4514dbb60d9da4cce9877db83093da6fbbe42,0x1ef9ad102bad3298778efa5f43c4514dbb60d9da4cce9877db83093da6fbbe42,0x1ef9ad102bad3298778efa5f43c4514dbb60d9da4cce9877db83093da6fbbe42,13933835,1,true,true,435430,435431,13933836,6,false,false,157484,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933836,435432,true,0x23a68793bbad92af5756f2b16bb255a6f31ca136c59f1bd9fe96efa0cb007663,0x23a68793bbad92af5756f2b16bb255a6f31ca136c59f1bd9fe96efa0cb007663,0x23a68793bbad92af5756f2b16bb255a6f31ca136c59f1bd9fe96efa0cb007663,13933836,1,true,true,435430,435431,13933837,3,false,false,201984,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933837,435432,true,0x8ea4788ce3fab4f077bfd0bb4b72e962735372a9685a14943997cb337a849ccd,0x8ea4788ce3fab4f077bfd0bb4b72e962735372a9685a14943997cb337a849ccd,0x23a68793bbad92af5756f2b16bb255a6f31ca136c59f1bd9fe96efa0cb007663,13933836,2,false,false,435430,435431,13933838,8,false,false,199649,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933838,435432,true,0x47abf38288769e16fc730633eb2a55c23c0b4a48edfa185df37eeb7594621430,0x47abf38288769e16fc730633eb2a55c23c0b4a48edfa185df37eeb7594621430,0x47abf38288769e16fc730633eb2a55c23c0b4a48edfa185df37eeb7594621430,13933838,1,true,true,435430,435431,13933839,8,false,false,248214,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933839,435432,true,0x90b780bde699f510751a09b7f980f1180fdc088ac6cfe84a0f0c1a86962ceea7,0x90b780bde699f510751a09b7f980f1180fdc088ac6cfe84a0f0c1a86962ceea7,0x90b780bde699f510751a09b7f980f1180fdc088ac6cfe84a0f0c1a86962ceea7,13933839,1,true,true,435430,435431,13933840,4,false,false,206027,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933840,435432,true,0xad84f072afcbd530dc1a95135b40aad42782cf2adaef65e567ab074872e44371,0xad84f072afcbd530dc1a95135b40aad42782cf2adaef65e567ab074872e44371,0xad84f072afcbd530dc1a95135b40aad42782cf2adaef65e567ab074872e44371,13933840,1,true,true,435430,435431,13933841,2,false,false,198199,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933841,435432,true,0xed7ce1d42674c28e8733833641d299716590809d35ae23ad51724fbe19d855c0,0xed7ce1d42674c28e8733833641d299716590809d35ae23ad51724fbe19d855c0,0xed7ce1d42674c28e8733833641d299716590809d35ae23ad51724fbe19d855c0,13933841,1,true,true,435430,435431,13933842,8,false,false,194031,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933842,435432,true,0x70f581d89530312fb443382f6bcb900df967ef94c4aba41c51a97a5cf31d7e62,0x70f581d89530312fb443382f6bcb900df967ef94c4aba41c51a97a5cf31d7e62,0x70f581d89530312fb443382f6bcb900df967ef94c4aba41c51a97a5cf31d7e62,13933842,1,true,true,435430,435431,13933843,3,false,false,326541,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933843,435432,true,0x2890fb61094e9798577a669f654a29c3279c05ad616d12ee56a309d27ebb4ffe,0x2890fb61094e9798577a669f654a29c3279c05ad616d12ee56a309d27ebb4ffe,0x2890fb61094e9798577a669f654a29c3279c05ad616d12ee56a309d27ebb4ffe,13933843,1,true,true,435430,435431,13933844,2,false,false,308298,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933844,435432,true,0x72287e0def6da4cc1263788a0d482aed722fc1d0b57b27b3163a7efa83ae1e37,0x72287e0def6da4cc1263788a0d482aed722fc1d0b57b27b3163a7efa83ae1e37,0x72287e0def6da4cc1263788a0d482aed722fc1d0b57b27b3163a7efa83ae1e37,13933844,1,true,true,435430,435431,13933845,3,false,false,629980,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933845,435432,true,0x43cee090148825daabd695967cff791318db53c190d76e5da5cecff9738e06ac,0x43cee090148825daabd695967cff791318db53c190d76e5da5cecff9738e06ac,0x43cee090148825daabd695967cff791318db53c190d76e5da5cecff9738e06ac,13933845,1,true,true,435430,435431,13933846,5,false,false,696673,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933846,435432,true,0xb854631939f5631cdaacdd023f1614f42e0248c72c92268c7fde4305250f2fef,0xb854631939f5631cdaacdd023f1614f42e0248c72c92268c7fde4305250f2fef,0xb854631939f5631cdaacdd023f1614f42e0248c72c92268c7fde4305250f2fef,13933846,1,true,true,435430,435431,13933847,3,false,false,312059,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933847,435432,true,0x4e0adc1050b82cd067db1c56e8bbbb7756fa25fa5720fce837f3c2eba0ac96cd,0x4e0adc1050b82cd067db1c56e8bbbb7756fa25fa5720fce837f3c2eba0ac96cd,0x4e0adc1050b82cd067db1c56e8bbbb7756fa25fa5720fce837f3c2eba0ac96cd,13933847,1,true,true,435430,435431,13933848,2,false,false,294362,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933848,435432,true,0x459c269fc0c5b9811b2b9d4ec63e813a0492b255ef89015a29c8cb58292eb19e,0x459c269fc0c5b9811b2b9d4ec63e813a0492b255ef89015a29c8cb58292eb19e,0x459c269fc0c5b9811b2b9d4ec63e813a0492b255ef89015a29c8cb58292eb19e,13933848,1,true,true,435430,435431,13933849,3,false,false,333975,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933849,435432,true,0x2396111b4d87c66d16487617be3f814dfdbfc14ac44b236802da45757a1b64b9,0x2396111b4d87c66d16487617be3f814dfdbfc14ac44b236802da45757a1b64b9,0x2396111b4d87c66d16487617be3f814dfdbfc14ac44b236802da45757a1b64b9,13933849,1,true,true,435430,435431,13933850,8,false,false,289742,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933850,435432,true,0x063d18da71741b01e2ec5de1774451da3a322d0e0350b2813dfbe8e128a28a0e,0x063d18da71741b01e2ec5de1774451da3a322d0e0350b2813dfbe8e128a28a0e,0x063d18da71741b01e2ec5de1774451da3a322d0e0350b2813dfbe8e128a28a0e,13933850,1,true,true,435430,435431,13933851,1,false,false,296636,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933851,435432,true,0x70bbfe5491ee6269f86247440e7f78eb292b0bf62c628ed9eb9af86751e446a6,0x70bbfe5491ee6269f86247440e7f78eb292b0bf62c628ed9eb9af86751e446a6,0x70bbfe5491ee6269f86247440e7f78eb292b0bf62c628ed9eb9af86751e446a6,13933851,1,true,true,435430,435431,13933852,8,false,false,268455,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933852,435432,true,0xf3bd895d6fbd378a1e1763fc34259b2cfe45c29dcea39899389ccd43a1d581f9,0xf3bd895d6fbd378a1e1763fc34259b2cfe45c29dcea39899389ccd43a1d581f9,0xf3bd895d6fbd378a1e1763fc34259b2cfe45c29dcea39899389ccd43a1d581f9,13933852,1,true,true,435430,435431,13933853,2,false,false,282370,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933853,435432,true,0x768641bf3d66645df24a8ef95064416fc7733265c909f3f5e3e02d06736a47e4,0x768641bf3d66645df24a8ef95064416fc7733265c909f3f5e3e02d06736a47e4,0x768641bf3d66645df24a8ef95064416fc7733265c909f3f5e3e02d06736a47e4,13933853,1,true,true,435430,435431,13933854,2,false,false,223751,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933854,435432,true,0x23940286f98fdc02058683a4544429c13da5e7439eaad55ed86c76812601321f,0x23940286f98fdc02058683a4544429c13da5e7439eaad55ed86c76812601321f,0x23940286f98fdc02058683a4544429c13da5e7439eaad55ed86c76812601321f,13933854,1,true,true,435430,435431,13933855,2,false,false,266404,next-non-missed,4
3,lodestar,v0.39.0-3198-g549b4c390c,549b4c390cd5bb6d2bb35c48f59e7a04575ba496,13933855,435432,true,0x9c158eaa986ad6cb0dfca741bdbd67507c04a2ecf5caaea12582d1f90d04d7f4,0x9c158eaa986ad6cb0dfca741bdbd67507c04a2ecf5caaea12582d1f90d04d7f4,0x9c158eaa986ad6cb0dfca741bdbd67507c04a2ecf5caaea12582d1f90d04d7f4,13933855,1,true,true,435430,435431,13933856,3,false,false,5765057,next-non-missed,4
